.HEADER
..NAMES
Time,V U1.W14
.DATA
3.74819e-008,0.3309
3.75185e-008,0.3300
3.75552e-008,0.3299
3.75919e-008,0.3306
3.76285e-008,0.3330
3.76652e-008,0.3415
3.77019e-008,0.3651
3.77386e-008,0.4197
3.77753e-008,0.5109
3.78119e-008,0.6265
3.78486e-008,0.7453
3.78853e-008,0.8368
3.79220e-008,0.9065
3.79586e-008,0.9617
3.79953e-008,1.0068
3.80320e-008,1.0418
3.80686e-008,1.0665
3.81053e-008,1.0816
3.81420e-008,1.0908
3.81787e-008,1.0972
3.82154e-008,1.1026
3.82520e-008,1.1078
3.82887e-008,1.1125
3.83254e-008,1.1160
3.83620e-008,1.1179
3.83987e-008,1.1182
3.84354e-008,1.1165
3.84721e-008,1.1127
3.85088e-008,1.1057
3.85454e-008,1.0944
3.85821e-008,1.0775
3.86188e-008,1.0558
3.86555e-008,1.0326
3.86921e-008,1.0140
3.87288e-008,1.0054
3.87655e-008,1.0071
3.88021e-008,1.0146
3.88388e-008,1.0218
3.88755e-008,1.0235
3.89122e-008,1.0187
3.89489e-008,1.0103
3.89855e-008,1.0030
