.HEADER
..NAMES
Time,V U1.AD12
.DATA
3.68217e-008,1.0540
3.68584e-008,1.0636
3.68950e-008,1.0724
3.69317e-008,1.0798
3.69684e-008,1.0858
3.70051e-008,1.0907
3.70418e-008,1.0946
3.70784e-008,1.0972
3.71151e-008,1.0976
3.71518e-008,1.0955
3.71884e-008,1.0913
3.72251e-008,1.0865
3.72618e-008,1.0833
3.72985e-008,1.0833
3.73351e-008,1.0867
3.73718e-008,1.0925
3.74085e-008,1.0984
3.74452e-008,1.1025
3.74819e-008,1.1038
3.75185e-008,1.1024
3.75552e-008,1.0993
3.75919e-008,1.0960
3.76285e-008,1.0938
3.76652e-008,1.0934
3.77019e-008,1.0945
3.77386e-008,1.0962
3.77753e-008,1.0976
3.78119e-008,1.0983
3.78486e-008,1.0986
3.78853e-008,1.0984
3.79220e-008,1.0980
3.79586e-008,1.0975
3.79953e-008,1.0969
3.80320e-008,1.0965
3.80686e-008,1.0967
3.81053e-008,1.0974
3.81420e-008,1.0987
3.81787e-008,1.0999
3.82154e-008,1.1006
3.82520e-008,1.1004
3.82887e-008,1.0992
3.83254e-008,1.0975
3.83620e-008,1.0959
3.83987e-008,1.0950
3.84354e-008,1.0950
3.84721e-008,1.0959
3.85088e-008,1.0971
3.85454e-008,1.0982
3.85821e-008,1.0985
3.86188e-008,1.0981
3.86555e-008,1.0971
3.86921e-008,1.0961
3.87288e-008,1.0955
3.87655e-008,1.0953
3.88021e-008,1.0955
3.88388e-008,1.0959
3.88755e-008,1.0963
3.89122e-008,1.0966
3.89489e-008,1.0969
