.HEADER
..NAMES
Time,V U4.P3
.DATA
3.26041e-008,1.0644
3.26407e-008,1.0730
3.26774e-008,1.0645
3.27141e-008,1.0270
3.27508e-008,0.9569
3.27875e-008,0.8574
3.28241e-008,0.7388
3.28608e-008,0.6191
3.28975e-008,0.5167
3.29341e-008,0.4433
3.29708e-008,0.4053
3.30075e-008,0.4023
3.30442e-008,0.4258
3.30808e-008,0.4612
3.31175e-008,0.4928
3.31542e-008,0.5086
3.31909e-008,0.5044
3.32276e-008,0.4840
3.32642e-008,0.4554
3.33009e-008,0.4273
3.33376e-008,0.4063
3.33742e-008,0.3948
3.34109e-008,0.3910
3.34476e-008,0.3904
3.34843e-008,0.3880
3.35210e-008,0.3796
3.35576e-008,0.3639
3.35943e-008,0.3428
3.36310e-008,0.3212
3.36677e-008,0.3050
3.37043e-008,0.2987
3.37410e-008,0.3038
3.37777e-008,0.3179
3.38143e-008,0.3361
3.38510e-008,0.3526
3.38877e-008,0.3621
3.39244e-008,0.3619
3.39611e-008,0.3524
3.39977e-008,0.3364
3.40344e-008,0.3186
3.40711e-008,0.3041
3.41077e-008,0.2963
3.41444e-008,0.2961
3.41811e-008,0.3025
3.42178e-008,0.3124
3.42545e-008,0.3225
3.42911e-008,0.3302
3.43278e-008,0.3336
3.43645e-008,0.3332
3.44012e-008,0.3310
3.44378e-008,0.3317
3.44745e-008,0.3420
3.45112e-008,0.3703
3.45478e-008,0.4219
3.45845e-008,0.4972
3.46212e-008,0.5902
3.46579e-008,0.6904
3.46946e-008,0.7866
3.47312e-008,0.8679
3.47679e-008,0.9263
3.48046e-008,0.9591
3.48412e-008,0.9687
3.48779e-008,0.9607
3.49146e-008,0.9439
3.49513e-008,0.9292
3.49879e-008,0.9245
3.50246e-008,0.9330
3.50613e-008,0.9525
3.50980e-008,0.9771
3.51347e-008,1.0002
3.51713e-008,1.0177
3.52080e-008,1.0281
3.52447e-008,1.0327
3.52813e-008,1.0347
3.53180e-008,1.0377
3.53547e-008,1.0442
3.53914e-008,1.0554
3.54281e-008,1.0705
3.54647e-008,1.0866
3.55014e-008,1.0998
3.55381e-008,1.1063
3.55748e-008,1.1047
3.56114e-008,1.0959
3.56481e-008,1.0835
3.56848e-008,1.0721
3.57214e-008,1.0660
3.57581e-008,1.0674
3.57948e-008,1.0762
3.58315e-008,1.0899
3.58682e-008,1.1045
3.59048e-008,1.1162
3.59415e-008,1.1219
3.59782e-008,1.1208
3.60148e-008,1.1138
3.60515e-008,1.1035
3.60882e-008,1.0932
3.61249e-008,1.0857
3.61615e-008,1.0830
3.61982e-008,1.0853
3.62349e-008,1.0915
3.62716e-008,1.0992
3.63083e-008,1.1060
3.63449e-008,1.1083
3.63816e-008,1.1011
3.64183e-008,1.0778
3.64549e-008,1.0322
3.64916e-008,0.9634
3.65283e-008,0.8751
3.65650e-008,0.7737
3.66017e-008,0.6703
3.66383e-008,0.5773
3.66750e-008,0.5037
3.67117e-008,0.4548
3.67484e-008,0.4322
3.67850e-008,0.4325
3.68217e-008,0.4474
3.68584e-008,0.4666
3.68950e-008,0.4800
3.69317e-008,0.4816
3.69684e-008,0.4709
3.70051e-008,0.4520
3.70418e-008,0.4306
3.70784e-008,0.4123
3.71151e-008,0.4000
3.71518e-008,0.3934
3.71884e-008,0.3899
3.72251e-008,0.3861
3.72618e-008,0.3789
3.72985e-008,0.3665
3.73351e-008,0.3495
3.73718e-008,0.3311
3.74085e-008,0.3156
3.74452e-008,0.3074
3.74819e-008,0.3086
3.75185e-008,0.3185
3.75552e-008,0.3335
3.75919e-008,0.3484
3.76285e-008,0.3578
3.76652e-008,0.3586
3.77019e-008,0.3504
3.77386e-008,0.3354
3.77753e-008,0.3180
3.78119e-008,0.3032
3.78486e-008,0.2950
3.78853e-008,0.2950
3.79220e-008,0.3023
3.79586e-008,0.3141
3.79953e-008,0.3263
3.80320e-008,0.3352
3.80686e-008,0.3386
3.81053e-008,0.3362
3.81420e-008,0.3306
3.81787e-008,0.3265
3.82154e-008,0.3313
3.82520e-008,0.3539
3.82887e-008,0.4009
3.83254e-008,0.4732
3.83620e-008,0.5657
3.83987e-008,0.6673
3.84354e-008,0.7662
3.84721e-008,0.8511
3.85088e-008,0.9135
3.85454e-008,0.9502
3.85821e-008,0.9634
3.86188e-008,0.9586
3.86555e-008,0.9441
3.86921e-008,0.9304
3.87288e-008,0.9256
3.87655e-008,0.9334
3.88021e-008,0.9519
3.88388e-008,0.9753
3.88755e-008,0.9970
3.89122e-008,1.0131
3.89489e-008,1.0225
3.89855e-008,1.0270
