.HEADER
..NAMES
Time,V U3.R2
.DATA
3.59782e-008,1.0948
3.60148e-008,1.0931
3.60515e-008,1.0915
3.60882e-008,1.0904
3.61249e-008,1.0899
3.61615e-008,1.0901
3.61982e-008,1.0908
3.62349e-008,1.0917
3.62716e-008,1.0924
3.63083e-008,1.0925
3.63449e-008,1.0921
3.63816e-008,1.0916
3.64183e-008,1.0911
3.64549e-008,1.0909
3.64916e-008,1.0910
3.65283e-008,1.0912
3.65650e-008,1.0916
3.66017e-008,1.0919
3.66383e-008,1.0921
3.66750e-008,1.0921
3.67117e-008,1.0919
3.67484e-008,1.0915
3.67850e-008,1.0912
3.68217e-008,1.0909
3.68584e-008,1.0908
3.68950e-008,1.0908
3.69317e-008,1.0909
3.69684e-008,1.0910
3.70051e-008,1.0910
3.70418e-008,1.0911
3.70784e-008,1.0913
3.71151e-008,1.0914
3.71518e-008,1.0915
3.71884e-008,1.0915
3.72251e-008,1.0914
3.72618e-008,1.0914
3.72985e-008,1.0912
3.73351e-008,1.0911
3.73718e-008,1.0911
3.74085e-008,1.0911
3.74452e-008,1.0912
3.74819e-008,1.0914
3.75185e-008,1.0916
3.75552e-008,1.0918
3.75919e-008,1.0918
3.76285e-008,1.0917
3.76652e-008,1.0915
3.77019e-008,1.0913
3.77386e-008,1.0910
3.77753e-008,1.0909
3.78119e-008,1.0909
3.78486e-008,1.0911
3.78853e-008,1.0913
3.79220e-008,1.0916
3.79586e-008,1.0917
3.79953e-008,1.0917
3.80320e-008,1.0916
3.80686e-008,1.0914
3.81053e-008,1.0912
3.81420e-008,1.0910
3.81787e-008,1.0910
3.82154e-008,1.0911
3.82520e-008,1.0912
3.82887e-008,1.0914
3.83254e-008,1.0916
3.83620e-008,1.0916
3.83987e-008,1.0915
3.84354e-008,1.0914
3.84721e-008,1.0913
3.85088e-008,1.0911
3.85454e-008,1.0911
3.85821e-008,1.0911
3.86188e-008,1.0912
3.86555e-008,1.0914
3.86921e-008,1.0915
3.87288e-008,1.0915
3.87655e-008,1.0915
3.88021e-008,1.0914
3.88388e-008,1.0913
3.88755e-008,1.0912
3.89122e-008,1.0911
3.89489e-008,1.0911
3.89855e-008,1.0912
