.HEADER
..NAMES
Time,V U3.R3
.DATA
3.75919e-008,1.0906
3.76285e-008,1.0906
3.76652e-008,1.0907
3.77019e-008,1.0907
3.77386e-008,1.0908
3.77753e-008,1.0908
3.78119e-008,1.0908
3.78486e-008,1.0908
3.78853e-008,1.0907
3.79220e-008,1.0907
3.79586e-008,1.0906
3.79953e-008,1.0906
3.80320e-008,1.0906
3.80686e-008,1.0906
3.81053e-008,1.0907
3.81420e-008,1.0907
3.81787e-008,1.0908
3.82154e-008,1.0909
3.82520e-008,1.0914
3.82887e-008,1.0922
3.83254e-008,1.0929
3.83620e-008,1.0913
3.83987e-008,1.0831
3.84354e-008,1.0629
3.84721e-008,1.0272
3.85088e-008,0.9745
3.85454e-008,0.9042
3.85821e-008,0.8179
3.86188e-008,0.7224
3.86555e-008,0.6272
3.86921e-008,0.5412
3.87288e-008,0.4727
3.87655e-008,0.4285
3.88021e-008,0.4099
3.88388e-008,0.4125
3.88755e-008,0.4280
3.89122e-008,0.4463
3.89489e-008,0.4579
3.89855e-008,0.4567
