.HEADER
..NAMES
Time,V U2.T8
.DATA
3.22006e-008,0.5893
3.22373e-008,0.5096
3.22740e-008,0.4404
3.23107e-008,0.3870
3.23474e-008,0.3525
3.23840e-008,0.3370
3.24207e-008,0.3381
3.24574e-008,0.3515
3.24941e-008,0.3709
3.25307e-008,0.3902
3.25674e-008,0.4039
3.26041e-008,0.4085
3.26407e-008,0.4031
3.26774e-008,0.3893
3.27141e-008,0.3702
3.27508e-008,0.3492
3.27875e-008,0.3303
3.28241e-008,0.3169
3.28608e-008,0.3104
3.28975e-008,0.3103
3.29341e-008,0.3155
3.29708e-008,0.3244
3.30075e-008,0.3347
3.30442e-008,0.3434
3.30808e-008,0.3482
3.31175e-008,0.3481
3.31542e-008,0.3436
3.31909e-008,0.3366
3.32276e-008,0.3292
3.32642e-008,0.3231
3.33009e-008,0.3189
3.33376e-008,0.3168
3.33742e-008,0.3163
3.34109e-008,0.3166
3.34476e-008,0.3173
3.34843e-008,0.3180
3.35210e-008,0.3185
3.35576e-008,0.3184
3.35943e-008,0.3179
3.36310e-008,0.3175
3.36677e-008,0.3178
3.37043e-008,0.3193
3.37410e-008,0.3221
3.37777e-008,0.3262
3.38143e-008,0.3308
3.38510e-008,0.3348
3.38877e-008,0.3373
3.39244e-008,0.3379
3.39611e-008,0.3366
3.39977e-008,0.3342
3.40344e-008,0.3314
3.40711e-008,0.3290
3.41077e-008,0.3274
3.41444e-008,0.3268
3.41811e-008,0.3271
3.42178e-008,0.3281
3.42545e-008,0.3293
3.42911e-008,0.3304
3.43278e-008,0.3310
3.43645e-008,0.3309
3.44012e-008,0.3299
3.44378e-008,0.3283
3.44745e-008,0.3268
3.45112e-008,0.3259
3.45478e-008,0.3261
3.45845e-008,0.3278
3.46212e-008,0.3319
3.46579e-008,0.3399
3.46946e-008,0.3542
3.47312e-008,0.3770
3.47679e-008,0.4095
3.48046e-008,0.4527
3.48412e-008,0.5078
3.48779e-008,0.5761
3.49146e-008,0.6560
3.49513e-008,0.7415
3.49879e-008,0.8258
3.50246e-008,0.9035
3.50613e-008,0.9706
3.50980e-008,1.0229
3.51347e-008,1.0569
3.51713e-008,1.0725
3.52080e-008,1.0729
3.52447e-008,1.0628
3.52813e-008,1.0477
3.53180e-008,1.0332
3.53547e-008,1.0238
3.53914e-008,1.0225
3.54281e-008,1.0300
3.54647e-008,1.0447
3.55014e-008,1.0632
3.55381e-008,1.0818
3.55748e-008,1.0967
3.56114e-008,1.1035
3.56481e-008,1.0977
3.56848e-008,1.0768
3.57214e-008,1.0416
3.57581e-008,0.9940
3.57948e-008,0.9336
3.58315e-008,0.8589
3.58682e-008,0.7730
3.59048e-008,0.6838
3.59415e-008,0.5980
3.59782e-008,0.5186
3.60148e-008,0.4488
3.60515e-008,0.3936
3.60882e-008,0.3566
3.61249e-008,0.3383
3.61615e-008,0.3367
3.61982e-008,0.3479
3.62349e-008,0.3666
3.62716e-008,0.3868
3.63083e-008,0.4029
3.63449e-008,0.4105
3.63816e-008,0.4077
3.64183e-008,0.3952
3.64549e-008,0.3762
3.64916e-008,0.3554
3.65283e-008,0.3396
3.65650e-008,0.3366
3.66017e-008,0.3517
3.66383e-008,0.3859
3.66750e-008,0.4377
3.67117e-008,0.5067
3.67484e-008,0.5922
3.67850e-008,0.6889
3.68217e-008,0.7863
3.68584e-008,0.8739
3.68950e-008,0.9465
3.69317e-008,1.0025
3.69684e-008,1.0406
3.70051e-008,1.0602
3.70418e-008,1.0636
3.70784e-008,1.0557
3.71151e-008,1.0418
3.71518e-008,1.0267
3.71884e-008,1.0147
3.72251e-008,1.0091
3.72618e-008,1.0116
3.72985e-008,1.0218
3.73351e-008,1.0373
3.73718e-008,1.0547
3.74085e-008,1.0711
3.74452e-008,1.0840
3.74819e-008,1.0920
3.75185e-008,1.0951
3.75552e-008,1.0945
3.75919e-008,1.0920
3.76285e-008,1.0881
3.76652e-008,1.0833
3.77019e-008,1.0789
3.77386e-008,1.0766
3.77753e-008,1.0774
3.78119e-008,1.0813
3.78486e-008,1.0869
3.78853e-008,1.0926
3.79220e-008,1.0972
3.79586e-008,1.1002
3.79953e-008,1.1020
3.80320e-008,1.1029
3.80686e-008,1.1034
3.81053e-008,1.1034
3.81420e-008,1.1028
3.81787e-008,1.1015
3.82154e-008,1.0999
3.82520e-008,1.0985
3.82887e-008,1.0977
3.83254e-008,1.0973
3.83620e-008,1.0973
3.83987e-008,1.0966
3.84354e-008,1.0929
3.84721e-008,1.0828
3.85088e-008,1.0635
3.85454e-008,1.0343
3.85821e-008,0.9944
3.86188e-008,0.9414
3.86555e-008,0.8728
3.86921e-008,0.7908
3.87288e-008,0.7017
3.87655e-008,0.6114
3.88021e-008,0.5256
3.88388e-008,0.4504
3.88755e-008,0.3917
3.89122e-008,0.3528
3.89489e-008,0.3334
3.89855e-008,0.3311
